Speaker_1,Speaker_2,Big5,Persona,Conversation
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","also I was the point person on my company s transition from the KL-5 to GR-6 system.
You must ve had your hands full.
That I did. That I did.
So let s talk a little bit about your duties.
My duties?  All right.
Now you ll be heading a whole division, so you ll have a lot of duties.
I see.
But there ll be perhaps 30 people under you so you can dump a certain amount on them.
Good to know.
We can go into detail
No don t I beg of you!
All right then, we ll have a definite answer for you on Monday, but I think I can say with some confidence, you ll fit in well here.
Really?!"
Joey,Rachel,"[0.574, 0.614, 0.297, 0.545, 0.455]","I am Joey. I exude confidence and charm, always aiming to make people around me feel good. My outgoing nature and love for acting often lead me into quirky auditions and unforgettable roles. I may come across as carefree, but my loyalty to my friends is unwavering. I possess a boldness that often propels me into hilarious misadventures, especially in my pursuit of romantic relationships. Despite my occasional naivety, I have a big heart and a genuine desire to see those around me happy.","But then who? The waitress I went out with last month?
You know? Forget it!
No-no-no-no, no! Who, who were you talking about?
No, I-I-I-I don't, I actually don't know
Ok!"
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","Hey, Mon.
Hey-hey-hey. You wanna hear something that sucks.
Do I ever.
Chris says they re closing down the bar.
No way!
Yeah, apparently they re turning it into some kinda coffee place.
Just coffee! Where are we gonna hang out now?
Got me.
Can I get a beer.
Hey, did you pick a roommate?
You betcha!
Is it the Italian guy?
Um-mm, yeah right!"
Phoebe,Chandler,"[0.6, 0.48, 0.31, 0.46, 0.56]","I am Phoebe. My free-spirited nature and unique perspective on life make me stand out in the group. I am creative, often expressing myself through my music and offbeat ideas. Despite my eccentricities, I am incredibly kind-hearted and always there for my friends when they need support. I have a mysterious past that sometimes peeks through, adding depth to my character. My spontaneity and whimsical approach to life bring a touch of unpredictability to our circle of friends.","Oh my God, oh my God! Poor Monica!
What, what, what?!
What?!"
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]","I am Rachel. I possess a charming and outgoing personality, thriving in social settings and effortlessly adapting to new situations. Determined and ambitious, I took charge of my life by pursuing a career in fashion, showcasing my independence and drive. Despite occasional moments of impulsiveness, I value loyalty and cherish the relationships with my friends deeply. My impeccable sense of style and flair for drama add a touch of excitement to our group dynamic, always keeping things interesting. My emotional depth and vulnerability peek through my confident facade, revealing a complex yet endearing persona.","Hey!
Hi!
What are you doing here?
Ah y'know, this building is on my paper route so I...
Oh.
Hi.
Hi.
How d did it go?
Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.
I m so proud of you.
Me too!
Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...
I know.
Yeah.
Yeah."
Phoebe,Joey,"[0.6, 0.48, 0.31, 0.46, 0.56]","I am Phoebe. My free-spirited nature and unique perspective on life make me stand out in the group. I am creative, often expressing myself through my music and offbeat ideas. Despite my eccentricities, I am incredibly kind-hearted and always there for my friends when they need support. I have a mysterious past that sometimes peeks through, adding depth to my character. My spontaneity and whimsical approach to life bring a touch of unpredictability to our circle of friends.","Ameri-can.
Ameri-ccan.
Ameri-can. Y'know it s a"
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","Good job Joe! Well done! Top notch!
You liked it? You really liked it?
Oh-ho-ho, yeah!
Which part exactly?
The whole thing! Can we go?
Oh no-no-no, give me some specifics.
I love the specifics, the specifics were the best part!
Hey, what about the scene with the kangaroo? Did-did you like that part?
I was surprised to see a kangaroo in a World War I epic.
You fell asleep!!"
Chandler,Customer,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","Okay, that s enough honey!
I don t know.  Let me see the ring.
Great! Okay, here.
All right.
Thank you. Thank you. Thank you!  And"
Chandler,Ross,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","Can you hold on a moment? I have another call.  I love her.
I know.
I'm back."
Chandler,Jade,"[0.648, 0.375, 0.386, 0.58, 0.477]","I am Chandler. I use humor as a shield and often crack jokes to lighten up any tense situation. I feel a bit awkward in relationships but am fiercely loyal and supportive of my friends. I've made a successful career shift from statistical analysis to advertising. I struggle with a complex relationship with my family, which often influences my interactions. My sarcasm is my hallmark, but it hides a sensitive side that I don't easily show.","I'm back.
So, are we gonna get together or what?
Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?
Great, I'll see you then.
Ok.  Ok. Having a phone has finally paid off."
